Gene stable ID	Gene name	Chromosome/scaffold name
ENSMUSG00000118402	Btbd35f22	X
ENSMUSG00000114897	Gm5923	X
ENSMUSG00000031289	Il13ra2	X
ENSMUSG00000005864	Cnga2	X
ENSMUSG00000096194	Btbd35f2	X
ENSMUSG00000033343	Magea4	X
ENSMUSG00000118459	Btbd35f1	X
ENSMUSG00000067262	Vmn1r239-ps	X
ENSMUSG00000114356	Gm47265	X
ENSMUSG00000031333	Abcb7	X
ENSMUSG00000094601	Gm5926	X
ENSMUSG00000083327	Vcp-rs	X
ENSMUSG00000082996	Gm6238	X
ENSMUSG00000099711	Btbd35f21	X
ENSMUSG00000118481	Gm21789	X
ENSMUSG00000073016	Uprt	X
ENSMUSG00000031340	Gabre	X
ENSMUSG00000118409	Btbd35f5	X
ENSMUSG00000065542	Mir224	X
ENSMUSG00000070138	Mir452	X
ENSMUSG00000094115	Spin2-ps6	X
ENSMUSG00000084982	Gm15275	X
ENSMUSG00000086246	Gm15274	X
ENSMUSG00000101500	Btbd35f12	X
ENSMUSG00000087224	Gm2182	X
ENSMUSG00000114725	Gm2854	X
ENSMUSG00000043453	Magea10	X
ENSMUSG00000087649	Gm21979	X
ENSMUSG00000085552	Gm21990	X
ENSMUSG00000079649	Gm2892	X
ENSMUSG00000079297	Gm2223	X
ENSMUSG00000087007	Gm2231	X
ENSMUSG00000101294	Btbd35f15	X
ENSMUSG00000086668	Gm15273	X
ENSMUSG00000086525	Gm15281	X
ENSMUSG00000085756	Gm15279	X
ENSMUSG00000033906	Zdhhc15	X
ENSMUSG00000087468	Gm7023	X
ENSMUSG00000089171	Gm22430	X
ENSMUSG00000095934	Btbd35f13	X
ENSMUSG00000083049	Gm14822	X
ENSMUSG00000100364	1700121L16Rik	X
ENSMUSG00000078324	Btbd35f14	X
ENSMUSG00000031224	Magee2	X
ENSMUSG00000096915	Btbd35f6	X
ENSMUSG00000081703	Gm6285	X
ENSMUSG00000118488	Gm21870	X
ENSMUSG00000088960	Gm22090	X
ENSMUSG00000082600	Gm9673	X
ENSMUSG00000118429	Btbd35f9	X
ENSMUSG00000095659	Spin2g	X
ENSMUSG00000118438	Btbd35f8	X
ENSMUSG00000084363	Gm2288	X
ENSMUSG00000087491	Gm14552	X
ENSMUSG00000031343	Gabra3	X
ENSMUSG00000081471	Gm14735	X
ENSMUSG00000076455	Mir767	X
ENSMUSG00000077847	Mir105	X
ENSMUSG00000119692	Gm23461	X
ENSMUSG00000082657	Gm14736	X
ENSMUSG00000073247	Gm10486	X
ENSMUSG00000086757	Gm2309	X
ENSMUSG00000095899	Gm2318	X
ENSMUSG00000085000	Gm14553	X
ENSMUSG00000031344	Gabrq	X
ENSMUSG00000090089	Magea9-ps	X
ENSMUSG00000073245	Gm14819	X
ENSMUSG00000085107	Gm4764	X
ENSMUSG00000082799	Gm14554	X
ENSMUSG00000087847	Gm25624	X
ENSMUSG00000031347	Cetn2	X
ENSMUSG00000031290	Lrch2	X
ENSMUSG00000084421	Gm25107	X
ENSMUSG00000080250	Gm16400	X
ENSMUSG00000084191	Gm15167	X
ENSMUSG00000031226	Pbdc1	X
ENSMUSG00000031349	Nsdhl	X
ENSMUSG00000085441	Gm8289	X
ENSMUSG00000031227	Magee1	X
ENSMUSG00000084944	Gm14684	X
ENSMUSG00000082245	Gm6292	X
ENSMUSG00000083889	E530001F21Rik	X
ENSMUSG00000085791	Rpl30-ps9	X
ENSMUSG00000083744	Gm14824	X
ENSMUSG00000065499	Mir384	X
ENSMUSG00000095872	Gm15128	X
ENSMUSG00000083970	Gm15081	X
ENSMUSG00000065425	Mir325	X
ENSMUSG00000082464	Rab9b-ps1	X
ENSMUSG00000072931	Gm15080	X
ENSMUSG00000080046	Gm15108	X
ENSMUSG00000090132	Cypt2	X
ENSMUSG00000081976	Gm14823	X
ENSMUSG00000083809	Gm15110	X
ENSMUSG00000084376	Gm14855	X
ENSMUSG00000082275	Gm14854	X
ENSMUSG00000094643	Gm8303	X
ENSMUSG00000063442	Gm7117	X
ENSMUSG00000031230	Fgf16	X
ENSMUSG00000072930	Gm15107	X
ENSMUSG00000072929	Gm15109	X
ENSMUSG00000081533	Gm15111	X
ENSMUSG00000084001	Gm15113	X
ENSMUSG00000096453	Gm8320	X
ENSMUSG00000079395	Gm15114	X
ENSMUSG00000082856	Gm15106	X
ENSMUSG00000084112	Gm15112	X
ENSMUSG00000095627	Gm8331	X
ENSMUSG00000079374	Gm8334	X
ENSMUSG00000031351	Zfp185	X
ENSMUSG00000089357	Mir2137	X
ENSMUSG00000096834	Gm15127	X
ENSMUSG00000050424	Pnma5	X
ENSMUSG00000109025	Gm6858	X
ENSMUSG00000080071	Gm15125	X
ENSMUSG00000046287	Pnma3	X
ENSMUSG00000082995	Gm15126	X
ENSMUSG00000083256	Kars-ps1	X
ENSMUSG00000079845	Xlr4a	X
ENSMUSG00000079387	Luzp4	X
ENSMUSG00000094712	Gm15099	X
ENSMUSG00000095994	Gm15084	X
ENSMUSG00000083778	Gm15094	X
ENSMUSG00000083231	Gm15096	X
ENSMUSG00000031093	Dock11	X
ENSMUSG00000118439	Gm50468	X
ENSMUSG00000057836	Xlr3a	X
ENSMUSG00000092255	Gm20455	X
ENSMUSG00000094885	Ott	X
ENSMUSG00000086974	Gm15092	X
ENSMUSG00000096213	Gm15088	X
ENSMUSG00000096179	Gm15090	X
ENSMUSG00000096899	Gm8346	X
ENSMUSG00000094941	Gm15093	X
ENSMUSG00000095820	Gm15098	X
ENSMUSG00000093851	Gm15089	X
ENSMUSG00000017057	Il13ra1	X
ENSMUSG00000095408	Gm8366	X
ENSMUSG00000096008	Gm15100	X
ENSMUSG00000095621	Gm15085	X
ENSMUSG00000096338	Gm15086	X
ENSMUSG00000036699	Zcchc12	X
ENSMUSG00000083130	Gm14560	X
ENSMUSG00000081159	Gm6023	X
ENSMUSG00000083755	Gm14559	X
ENSMUSG00000072923	Gm10439	X
ENSMUSG00000058328	Xlr5a	X
ENSMUSG00000094964	Gm15101	X
ENSMUSG00000095561	Gm8383	X
ENSMUSG00000067771	Pwwp4a	X
ENSMUSG00000071745	Pwwp4b	X
ENSMUSG00000016239	Lonrf3	X
ENSMUSG00000119926	Gm25047	X
ENSMUSG00000081407	Gm14568	X
ENSMUSG00000094378	Gm15097	X
ENSMUSG00002075949	Gm54381	X
ENSMUSG00000082937	Gm15095	X
ENSMUSG00000079642	Gm6268	X
ENSMUSG00000084395	Gm15087	X
ENSMUSG00000065031	Gm22364	X
ENSMUSG00000091556	Gm14569	X
ENSMUSG00000095082	Gm15091	X
ENSMUSG00000095534	Gm15102	X
ENSMUSG00000081827	Gm15103	X
ENSMUSG00000031229	Atrx	X
ENSMUSG00000094767	Gm8402	X
ENSMUSG00000048592	Gm5946	X
ENSMUSG00000087360	Gm15104	X
ENSMUSG00000084678	Gm26020	X
ENSMUSG00000081928	Gm15105	X
ENSMUSG00000079965	Gm14853	X
ENSMUSG00000084575	Gm23656	X
ENSMUSG00000072479	Xlr5b	X
ENSMUSG00000079566	Spin2d	X
ENSMUSG00000073125	Xlr3b	X
ENSMUSG00000041353	Tmem29	X
ENSMUSG00000082974	Gm15129	X
ENSMUSG00000081187	3110067C02Rik	X
ENSMUSG00000031232	Magt1	X
ENSMUSG00000067768	Xlr4b	X
ENSMUSG00000031231	Cox7b	X
ENSMUSG00000078317	F8a	X
ENSMUSG00000025269	Apex2	X
ENSMUSG00000031362	Xlr4c	X
ENSMUSG00000058147	Xlr3c	X
ENSMUSG00000067764	Xlr5c	X
ENSMUSG00000082629	Pwwp4-ps	X
ENSMUSG00000081253	Gm8501	X
ENSMUSG00000025270	Alas2	X
ENSMUSG00000109368	Gm45015	X
ENSMUSG00000099172	Mir3620	X
ENSMUSG00000033792	Atp7a	X
ENSMUSG00000033777	Tlr13	X
ENSMUSG00000031365	Zfp275	X
ENSMUSG00000081081	Gm14856	X
ENSMUSG00000096966	Gm18336	X
ENSMUSG00000097110	Gm26726	X
ENSMUSG00000103141	Gm37741	X
ENSMUSG00000031374	Zfp92	X
ENSMUSG00000062070	Pgk1	X
ENSMUSG00000031372	Trex2	X
ENSMUSG00000047242	Taf9b	X
ENSMUSG00000025271	Pfkfb1	X
ENSMUSG00000031371	Haus7	X
ENSMUSG00000079641	Rpl39	X
ENSMUSG00000065642	Snora69	X
ENSMUSG00000073012	Fnd3c2	X
ENSMUSG00000082618	Gm14852	X
ENSMUSG00000081289	Gm14857	X
ENSMUSG00000083814	Gm5133	X
ENSMUSG00000119174	Mir6382	X
ENSMUSG00000084219	Gm14876	X
ENSMUSG00000036572	Upf3b	X
ENSMUSG00000081778	Gm6325	X
ENSMUSG00000016409	Nkap	X
ENSMUSG00000036551	Akap14	X
ENSMUSG00000016427	Ndufa1	X
ENSMUSG00000036537	Rnf113a1	X
ENSMUSG00000031375	Bgn	X
ENSMUSG00000073243	Gm9	X
ENSMUSG00000071773	Rhox1	X
ENSMUSG00000051827	Rhox2a	X
ENSMUSG00000033737	Fndc3c1	X
ENSMUSG00002076096	Gm54415	X
ENSMUSG00000052821	Cysltr1	X
ENSMUSG00000071772	Rhox3a	X
ENSMUSG00000079639	Rhox4a	X
ENSMUSG00000073010	Gm5127	X
ENSMUSG00000064553	Gm24622	X
ENSMUSG00000082174	Gm14877	X
ENSMUSG00000083432	Gm14878	X
ENSMUSG00000081395	Gm14879	X
ENSMUSG00000083595	Gm9200	X
ENSMUSG00000065733	Gm24491	X
ENSMUSG00002076607	Gm54418	X
ENSMUSG00000083063	Gm14882	X
ENSMUSG00000095601	Rhox3a2	X
ENSMUSG00000082939	Gm14881	X
ENSMUSG00000080841	Gm14880	X
ENSMUSG00000094945	Rhox4a2	X
ENSMUSG00000047686	Rtl3	X
ENSMUSG00000079638	Rhox2b	X
ENSMUSG00000084056	Rhox3b-ps	X
ENSMUSG00000049929	Lpar4	X
ENSMUSG00000071771	Rhox4b	X
ENSMUSG00000050921	P2ry10	X
ENSMUSG00000079637	Rhox2c	X
ENSMUSG00000054293	P2ry10b	X
ENSMUSG00000082630	Gm14834	X
ENSMUSG00000080898	Gm14836	X
ENSMUSG00000079636	Rhox3c	X
ENSMUSG00000079635	Rhox4c	X
ENSMUSG00000025272	Tro	X
ENSMUSG00000031376	Atp2b3	X
ENSMUSG00000095698	Rhox2d	X
ENSMUSG00000119329	Gm26494	X
ENSMUSG00000118463	Ccnq-ps1	X
ENSMUSG00000082297	Rhox3d-ps	X
ENSMUSG00000079633	Rhox4d	X
ENSMUSG00000031383	Dusp9	X
ENSMUSG00000081396	Gm15132	X
ENSMUSG00000073008	Gpr174	X
ENSMUSG00000082961	Gm15131	X
ENSMUSG00000080939	Gm9208	X
ENSMUSG00000081131	Gm14833	X
ENSMUSG00000080758	Gm5392	X
ENSMUSG00000096788	Rhox2e	X
ENSMUSG00000031239	Itm2a	X
ENSMUSG00000082172	Gm14835	X
ENSMUSG00000055700	4933401B06Rik	X
ENSMUSG00000059626	Rhox3e	X
ENSMUSG00000071770	Rhox4e	X
ENSMUSG00000095741	Rhox2f	X
ENSMUSG00000095510	Rhox3f	X
ENSMUSG00000079630	Rhox4f	X
ENSMUSG00000080933	Rhox3g	X
ENSMUSG00000080241	Dppa3-ps	X
ENSMUSG00000119532	Gm24493	X
ENSMUSG00000079629	Rhox2g	X
ENSMUSG00000031241	Tbx22	X
ENSMUSG00000079628	Rhox4g	X
ENSMUSG00000031242	2610002M06Rik	X
ENSMUSG00000071769	Rhox3h	X
ENSMUSG00000064697	Gm24147	X
ENSMUSG00000079627	Rhox2h	X
ENSMUSG00000106388	Rhox7-ps2	X
ENSMUSG00000081195	Rhox2-ps	X
ENSMUSG00000073007	Tent5d	X
ENSMUSG00000073006	Wmp	X
ENSMUSG00000081807	Gm14849	X
ENSMUSG00000082354	Gm378	X
ENSMUSG00000025268	Maged2	X
ENSMUSG00000081560	Gm9218	X
ENSMUSG00000080582	Gm24907	X
ENSMUSG00000093916	Gm379	X
ENSMUSG00000002012	Pnck	X
ENSMUSG00000098311	Gm27191	X
ENSMUSG00000081194	Gm8424	X
ENSMUSG00000063663	Brwd3	X
ENSMUSG00000025266	Gnl3l	X
ENSMUSG00000081782	Gm15152	X
ENSMUSG00000081748	Gm14870	X
ENSMUSG00000081793	5730416F02Rik	X
ENSMUSG00000031245	Hmgn5	X
ENSMUSG00000077652	Gm23322	X
ENSMUSG00000119240	Gm25797	X
ENSMUSG00000031246	Sh3bgrl	X
ENSMUSG00002074862	Gm54436	X
ENSMUSG00000083210	Gm14869	X
ENSMUSG00000036502	Tmem255a	X
ENSMUSG00000048621	Gm6377	X
ENSMUSG00000084009	Rhox7-ps1	X
ENSMUSG00000081681	Gm14868	X
ENSMUSG00000082189	Gm4784	X
ENSMUSG00000083928	Gm4991	X
ENSMUSG00000082853	Gm7134	X
ENSMUSG00000083641	Gm9225	X
ENSMUSG00000081211	Gm14886	X
ENSMUSG00000025265	Fgd1	X
ENSMUSG00000065907	Gm26108	X
ENSMUSG00000056854	Pou3f4	X
ENSMUSG00000062226	Gm10112	X
ENSMUSG00000016327	Atp1b4	X
ENSMUSG00000025264	Tsr2	X
ENSMUSG00000082497	Gm40	X
ENSMUSG00000081942	Gm15149	X
ENSMUSG00000081473	Gm4853	X
ENSMUSG00000081625	Rps12-ps7	X
ENSMUSG00000086286	Gm15138	X
ENSMUSG00000041245	Wnk3	X
ENSMUSG00000083596	Rpl21-ps15	X
ENSMUSG00000019558	Slc6a8	X
ENSMUSG00000064524	Gm26441	X
ENSMUSG00000016534	Lamp2	X
ENSMUSG00000002015	Bcap31	X
ENSMUSG00000087390	Gm7598	X
ENSMUSG00000025262	Fam120c	X
ENSMUSG00000064416	Gm22248	X
ENSMUSG00000031378	Abcd1	X
ENSMUSG00000084166	Gm6451	X
ENSMUSG00000082423	Gm15148	X
ENSMUSG00000088823	Gm25226	X
ENSMUSG00000031385	Plxnb3	X
ENSMUSG00000002007	Srpk3	X
ENSMUSG00000002010	Idh3g	X
ENSMUSG00000002014	Ssr4	X
ENSMUSG00000082546	Gm14898	X
ENSMUSG00000082752	Gm14899	X
ENSMUSG00000109156	Gm45194	X
ENSMUSG00000034555	Tex16	X
ENSMUSG00000083037	Gm14900	X
ENSMUSG00000002006	Pdzd4	X
ENSMUSG00000083392	Gm6335	X
ENSMUSG00000085669	Gm14817	X
ENSMUSG00000064536	Gm23615	X
ENSMUSG00000079460	4933403O08Rik	X
ENSMUSG00000082669	Gm5393	X
ENSMUSG00000031095	Cul4b	X
ENSMUSG00000025525	Apool	X
ENSMUSG00000000355	Mcts1	X
ENSMUSG00000025527	Satl1	X
ENSMUSG00000083520	Gm6418	X
ENSMUSG00000083818	Gm14908	X
ENSMUSG00000048970	C1galt1c1	X
ENSMUSG00000085611	Ap3s1-ps1	X
ENSMUSG00000085635	Gm14565	X
ENSMUSG00002076143	Gm54457	X
ENSMUSG00000082723	Gm14564	X
ENSMUSG00000051361	6030498E09Rik	X
ENSMUSG00000081147	Gm6024	X
ENSMUSG00000080896	Gm14567	X
ENSMUSG00000084030	Gm16423	X
ENSMUSG00000084039	Gm14551	X
ENSMUSG00000084247	Gm14566	X
ENSMUSG00000064529	Gm26437	X
ENSMUSG00000079619	Cypt15	X
ENSMUSG00000081324	Gm14550	X
ENSMUSG00000082147	Gm14570	X
ENSMUSG00000025528	2010106E10Rik	X
ENSMUSG00000083845	Gm14571	X
ENSMUSG00000095240	Cypt14	X
ENSMUSG00000086157	Gm14643	X
ENSMUSG00002076364	Gm54458	X
ENSMUSG00000082005	Gm7189	X
ENSMUSG00000080903	Gm16383	X
ENSMUSG00000083174	Gm7190	X
ENSMUSG00000080996	Gm4986	X
ENSMUSG00000083665	Gm14575	X
ENSMUSG00000083484	Gm14574	X
ENSMUSG00000084287	Gm14576	X
ENSMUSG00000081880	Gm5385	X
ENSMUSG00000083515	Gm14577	X
ENSMUSG00000025529	Zfp711	X
ENSMUSG00000034607	Pof1b	X
ENSMUSG00000081399	Gm14921	X
ENSMUSG00000084097	Gm14922	X
ENSMUSG00000082636	Gm14923	X
ENSMUSG00000081555	Gm6427	X
ENSMUSG00000083103	Gm6429	X
ENSMUSG00000081082	Gm14937	X
ENSMUSG00000082392	Gm14938	X
ENSMUSG00000084963	Gm14936	X
ENSMUSG00000083560	Gm14939	X
ENSMUSG00000025531	Chm	X
ENSMUSG00000065510	Mir361	X
ENSMUSG00000081831	Gm7405	X
ENSMUSG00000041229	Phf8	X
ENSMUSG00000031391	L1cam	X
ENSMUSG00000064665	Gm24460	X
ENSMUSG00000082342	Gm5395	X
ENSMUSG00000081331	Gm15151	X
ENSMUSG00000083379	Gm4919	X
ENSMUSG00000118781	n-R5s13	X
ENSMUSG00000083719	Gm15161	X
ENSMUSG00000001986	Gria3	X
ENSMUSG00002076088	Gm54484	X
ENSMUSG00000082966	Gm14614	X
ENSMUSG00000081918	Gm14613	X
ENSMUSG00000025592	Dach2	X
ENSMUSG00000080428	Gm24831	X
ENSMUSG00000087765	Gm23985	X
ENSMUSG00000082511	Gm4915	X
ENSMUSG00000082567	Gm14896	X
ENSMUSG00000084031	Gm7416	X
ENSMUSG00000079963	Gm7146	X
ENSMUSG00000037475	Thoc2	X
ENSMUSG00000081398	Gm7657	X
ENSMUSG00000080798	Gm5135	X
ENSMUSG00002075296	Gm54491	X
ENSMUSG00000025860	Xiap	X
ENSMUSG00000025597	Klhl4	X
ENSMUSG00000082324	Gm14615	X
ENSMUSG00000104042	Gm37564	X
ENSMUSG00000081978	Gm14895	X
ENSMUSG00000082070	Gm1866	X
ENSMUSG00000081354	Gm14894	X
ENSMUSG00000083561	Gm5942	X
ENSMUSG00000081160	Gm14897	X
ENSMUSG00000050435	Ube2dnl1	X
ENSMUSG00000047079	Ube2dnl2	X
ENSMUSG00000085619	4930555B12Rik	X
ENSMUSG00000082440	Gm4914	X
ENSMUSG00000082260	Gm7429	X
ENSMUSG00000083971	Gm5943	X
ENSMUSG00000083452	Gm14905	X
ENSMUSG00002074939	Gm54493	X
ENSMUSG00000098405	Gm27414	X
ENSMUSG00000080965	Gm6461	X
ENSMUSG00000081034	Gm5944	X
ENSMUSG00000083663	Gm14903	X
ENSMUSG00000081124	Gm14906	X
ENSMUSG00000083352	Gm14907	X
ENSMUSG00002076312	Gm54494	X
ENSMUSG00000084053	Gm14904	X
ENSMUSG00000064551	Gm24624	X
ENSMUSG00000072995	Cpxcr1	X
ENSMUSG00000082482	H2ab2	X
ENSMUSG00002075399	Gm54495	X
ENSMUSG00000043295	Gm16373	X
ENSMUSG00000080954	Gm14919	X
ENSMUSG00000067441	H2ab1	X
ENSMUSG00000080852	Gm14918	X
ENSMUSG00000081134	Gm14913	X
ENSMUSG00000083345	Gm6491	X
ENSMUSG00000100780	Gm28579	X
ENSMUSG00000083602	Gm14911	X
ENSMUSG00000084283	Gm14914	X
ENSMUSG00000081659	Gm14917	X
ENSMUSG00000084324	Gm6500	X
ENSMUSG00000082403	Gm14916	X
ENSMUSG00000081466	Gm14912	X
ENSMUSG00000084138	Gm14915	X
ENSMUSG00000081268	Gm14909	X
ENSMUSG00000083031	Gm14910	X
ENSMUSG00000100194	Tgif2lx2	X
ENSMUSG00000100133	Tgif2lx1	X
ENSMUSG00000081171	Gm7485	X
ENSMUSG00000081587	Gm14926	X
ENSMUSG00000088313	Gm26182	X
ENSMUSG00000086431	Gm14929	X
ENSMUSG00000034732	Pabpc5	X
ENSMUSG00000083151	Gm4913	X
ENSMUSG00000084172	Gm16420	X
ENSMUSG00000082927	Gm5863	X
ENSMUSG00000082718	Gm14928	X
ENSMUSG00000034755	Pcdh11x	X
ENSMUSG00000083616	H2ab3	X
ENSMUSG00000083321	Gm14931	X
ENSMUSG00000081546	Gm14927	X
ENSMUSG00000081728	Gm14930	X
ENSMUSG00000083275	Gm4993	X
ENSMUSG00000077435	Gm22590	X
ENSMUSG00000080695	Gm5394	X
ENSMUSG00002076256	Gm54496	X
ENSMUSG00000083668	Gm5648	X
ENSMUSG00000083699	Gm14932	X
ENSMUSG00000088539	Gm23277	X
ENSMUSG00000082590	Gm14943	X
ENSMUSG00000084054	Gm14945	X
ENSMUSG00000084110	Gm4992	X
ENSMUSG00002075736	Gm54497	X
ENSMUSG00000082840	Gm16421	X
ENSMUSG00000081095	Gm14946	X
ENSMUSG00000083537	Gm14942	X
ENSMUSG00000055733	Nap1l3	X
ENSMUSG00000086452	Gm14947	X
ENSMUSG00000083490	Gm14940	X
ENSMUSG00000096135	Rps12-ps18	X
ENSMUSG00000118442	Gm50465	X
ENSMUSG00000095283	Astx1b	X
ENSMUSG00000095017	Rps12-ps15	X
ENSMUSG00000118468	Gm17361	X
ENSMUSG00000118470	Gm50485	X
ENSMUSG00000118475	Gm21616	X
ENSMUSG00000095137	Rps12-ps17	X
ENSMUSG00000118432	Gm50486	X
ENSMUSG00000094540	Astx4c	X
ENSMUSG00000096763	Rps12-ps13	X
ENSMUSG00000118484	Gm17693	X
ENSMUSG00000095008	Astx1c	X
ENSMUSG00000095499	Rps12-ps14	X
ENSMUSG00000118464	Gm17522	X
ENSMUSG00000094342	Gm17522	X
ENSMUSG00000096897	Astx4d	X
ENSMUSG00000096437	Rps12-ps16	X
ENSMUSG00000118418	Gm17267	X
ENSMUSG00000095563	Astx3	X
ENSMUSG00000083294	Gm14957	X
ENSMUSG00000081736	Gm14971	X
ENSMUSG00000082611	Gm7746	X
ENSMUSG00000058670	Dmtf1l	X
ENSMUSG00000088282	Gm23586	X
ENSMUSG00000082772	Gm381	X
ENSMUSG00000081639	Gm14973	X
ENSMUSG00000082690	Gm14972	X
ENSMUSG00000062791	Gm382	X
ENSMUSG00000089372	Gm22139	X
ENSMUSG00000049815	4921511C20Rik	X
ENSMUSG00002076322	Gm54501	X
ENSMUSG00000082382	Gm14970	X
ENSMUSG00000043569	Cldn34c4	X
ENSMUSG00000119321	Gm25061	X
ENSMUSG00000083250	Gm5403	X
ENSMUSG00000081739	Mdm4-ps	X
ENSMUSG00000082126	Gm14975	X
ENSMUSG00000085722	Gm4916	X
ENSMUSG00000103504	Gm38390	X
ENSMUSG00002075700	Gm54502	X
ENSMUSG00000065898	Gm24522	X
ENSMUSG00000086244	4930558G05Rik	X
ENSMUSG00000089284	Gm26029	X
ENSMUSG00002075379	Gm54504	X
ENSMUSG00000084337	Gm14986	X
ENSMUSG00000081900	Gm14985	X
ENSMUSG00000081874	Gm14983	X
ENSMUSG00000025862	Stag2	X
ENSMUSG00000083450	Gm14619	X
ENSMUSG00000105993	Tex13d	X
ENSMUSG00000005696	Sh2d1a	X
ENSMUSG00000034480	Diaph2	X
ENSMUSG00000084047	Gm14984	X
ENSMUSG00000083920	Gm14987	X
ENSMUSG00000081456	Gm7781	X
ENSMUSG00000083024	Gm14982	X
ENSMUSG00000025261	Huwe1	X
ENSMUSG00002076166	Gm54536	X
ENSMUSG00000077379	Gm25170	X
ENSMUSG00000084256	Gm14976	X
ENSMUSG00000083999	Gm7790	X
ENSMUSG00000081072	Gm14977	X
ENSMUSG00000082117	Gm4994	X
ENSMUSG00000082205	Gm7058	X
ENSMUSG00000082537	Gm14981	X
ENSMUSG00000089128	Gm26406	X
ENSMUSG00000077628	Gm23768	X
ENSMUSG00002076316	Gm54537	X
ENSMUSG00000083177	Gm7820	X
ENSMUSG00000083205	Gm7821	X
ENSMUSG00000093219	Mir3113	X
ENSMUSG00000065602	Mirlet7f-2	X
ENSMUSG00000082905	Gm7823	X
ENSMUSG00000065536	Mir98	X
ENSMUSG00000083858	Gm14979	X
ENSMUSG00002076200	Gm54538	X
ENSMUSG00000082778	Gm15191	X
ENSMUSG00000083062	Gm14980	X
ENSMUSG00002076803	Gm54539	X
ENSMUSG00000031389	Arhgap4	X
ENSMUSG00000016150	Tenm1	X
ENSMUSG00000077558	Gm23705	X
ENSMUSG00000083098	Gm14578	X
ENSMUSG00000065622	Gm24763	X
ENSMUSG00000081300	Gm14587	X
ENSMUSG00000082839	Gm14588	X
ENSMUSG00000083598	Gm14579	X
ENSMUSG00000031390	Avpr2	X
ENSMUSG00000078320	Tex13c1	X
ENSMUSG00000081856	Gm14580	X
ENSMUSG00000051323	Pcdh19	X
ENSMUSG00000081036	Gm14628	X
ENSMUSG00000081704	Gm14603	X
ENSMUSG00000025260	Hsd17b10	X
ENSMUSG00000050926	Dcaf12l2	X
ENSMUSG00000082775	Itpa-ps3	X
ENSMUSG00000080714	Gm14602	X
ENSMUSG00000025257	Ribc1	X
ENSMUSG00000045284	Dcaf12l1	X
ENSMUSG00000083721	Gm7700	X
ENSMUSG00000031250	Tnmd	X
ENSMUSG00000037086	Prr32	X
ENSMUSG00000080764	Gm14606	X
ENSMUSG00000081129	Gm14605	X
ENSMUSG00000082886	Gm5386	X
ENSMUSG00000084158	Gm14652	X
ENSMUSG00000119236	Gm25078	X
ENSMUSG00000084000	Gm14653	X
ENSMUSG00000085157	4930515L19Rik	X
ENSMUSG00000046615	Actrt1	X
ENSMUSG00000081551	Gm14654	X
ENSMUSG00000063816	Gm4987	X
ENSMUSG00000101233	Gm29242	X
ENSMUSG00000082204	Gm7722	X
ENSMUSG00000083499	Gm14609	X
ENSMUSG00000082426	Gm14610	X
ENSMUSG00000083094	Gm4908	X
ENSMUSG00000084348	Gm14608	X
